,Unnamed: 0,program_name,program_level,domain,eligibility,description,skills_learned,career_outcomes,eligibility_struct
10,10,M.SC. (ENVIRONMENTAL SCIENCES),PG,Science,B.Sc. (Hons. or Pass) in any discipline of Sciences / B.Tech. (Biotechnology/Environment Engineering) with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) in aggregate.,"This program delves into environmental conservation, pollution control, and sustainable resource management, providing a comprehensive understanding of ecological systems and their interactions with human activities.","['Environmental assessment', 'Sustainable practices', 'Data analysis']","['Environmental consultant', 'Research scientist', 'Policy analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
11,11,M.SC. (ZOOLOGY),PG,Life Sciences,"B.Sc. (Hons.) in Zoology or B.Sc. with Zoology and two other subjects, including at least 50% marks (47.5% for reserved categories) in Haryana.","This program delves into advanced topics of zoology, focusing on taxonomy, ecology, genetics, and conservation biology. Students explore the diversity and evolution of animal life forms.","['Taxonomic identification', 'Genetic analysis', 'Ecological research', 'Conservation strategies']","['Research scientist', 'Academic lecturer', 'Environmental consultant']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
12,12,M.SC. (FOOD TECHNOLOGY),PG,Life Sciences,"B.Sc. degree in medical or non-medical sciences, B.Sc. honors, applied sciences including agriculture/fisheries/horticulture/food science/food processing technology/home science, or related engineering with at least 50% marks (47.5% for specific categories) from Haryana State Universities.","This program focuses on advanced studies in food preservation, processing, and quality management, providing a comprehensive understanding of food science principles and applications.","['Food safety', 'Nutrient analysis', 'Processing techniques']","['Food technologist', 'Quality control specialist', 'Research scientist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
13,13,M.SC. (FORENSIC SCIENCE),PG,Science,"B.Sc. in Forensic Science or B.Sc. with relevant subjects or B.Sc.(Hons.) with a major and minor subject, or BDS, with at least 50% marks (47.5% for reserved categories) in Haryana.","This program delves into advanced forensic techniques, legal aspects of evidence analysis, and crime scene investigation methods. Students explore biological, chemical, and physical sciences to understand forensic practices comprehensively.","['Forensic analysis', 'Crime scene investigation', 'Legal evidence evaluation']","['Forensic scientist', 'Criminal investigator', 'Lab technician']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
14,14,M.A. (Yoga Science),PG,Education,Bachelor's degree with at least 45% marks (42.75% for reserved categories) in any recognized examination.,"This program delves into the scientific and philosophical aspects of yoga, offering a comprehensive understanding of its principles and practices.","['Yoga philosophy', 'Mind-body connection', 'Holistic health']","['Yoga therapist', 'Health educator', 'Wellness consultant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
15,15,LLB (Hons.) 3-Year,PG,Law,"Bachelor/Master degree with at least 45% marks (42.75% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only) in aggregate or any other examination recognized by M.D. University, Rohtak as equivalent thereto.","This program focuses on legal theory and practice, preparing students for careers in law through comprehensive study of various legal systems and principles.","['Legal research', 'Case analysis', 'Drafting skills']","['Lawyer', 'Legal advisor', 'Judicial officer']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
16,16,LL.M.,PG,Law,LLB (Professional) Examination or equivalent with at least 50% marks (47.50% for reserved categories).,"Advanced legal studies focusing on specialized areas of law, enhancing research and analytical skills.","['Legal research', 'Case analysis', 'Academic writing']","['Legal consultant', 'Corporate lawyer', 'Judicial officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
17,17,Certificate Course in Pedagogy of Online Teaching,Certificate,Education,"Bachelor in Education (B.Ed.) with at least 45% marks, or equivalent recognized by MDU, Rohtak.","This program focuses on the pedagogical strategies and technologies essential for effective online teaching. It covers curriculum design, interactive teaching methods, and assessment techniques tailored for digital environments.","['Online teaching methodologies', 'Digital classroom management', 'Assessment in online education']","['Online instructor', 'E-learning developer', 'Educational technologist']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=None
18,18,Certificate course in Communication Skills in English Language,Certificate,Humanities,Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from recognized boards.,"This program focuses on enhancing communication skills in English, covering public speaking, writing, and interpersonal communication techniques.","['Effective communication', 'Public speaking', 'Writing skills']","['Technical writer', 'Customer service representative', 'Event coordinator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
19,19,Certificate course in Spanish Language,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Board of School Education Haryana, Bhiwani or equivalent.","This program focuses on mastering the Spanish language through comprehensive grammar, vocabulary, and cultural studies.","['Language proficiency', 'Cultural awareness', 'Communication skills']","['Translator', 'Interpreter', 'Foreign Language Instructor']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
20,20,Certificate course in French Language,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program focuses on developing proficiency in the French language through grammar, vocabulary, and cultural studies. Students will gain a solid foundation in speaking, writing, and understanding French literature and culture.","['Language proficiency', 'Cultural awareness', 'Communication skills']","['Translator', 'Interpreter', 'Foreign language instructor']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
21,21,Certificate course in German Language,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks, or 47.50% for reserved categories from Haryana only.","This program focuses on mastering the German language, covering grammar, vocabulary, and cultural aspects of Germany.","['Language proficiency', 'Cultural understanding', 'Communication skills']","['Translator', 'Interpreter', 'International relations officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
22,22,PG Diploma in Translation (English-Hindi English),Diploma,Humanities,"Bachelor's Degree with English and Hindi as main subjects or English (Honours) / Hindi (Honours) with at least 45% marks, 42.75% for SC/ST/Blind candidates of Haryana.","This program focuses on translating between English and Hindi, enhancing linguistic proficiency and translation skills.","['Translation techniques', 'Linguistic analysis', 'Cultural adaptation']","['Translator', 'Content writer', 'Localization specialist']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
23,23,"PG Diploma in Bhartiya Sanskriti Dharm, Darshan & Adhyatam",Diploma,Humanities,Bachelor's Degree with at least 50% marks (47.50% for SC/ST/Blind/Visually/Differently Abled candidates of Haryana only) in aggregate or any other examination recognized as equivalent thereto by this University,"This program explores the rich cultural, philosophical, and spiritual aspects of Indian traditions, focusing on Sanskriti, Dharm, Darshan, and Adhyatam.","['Cultural studies', 'Philosophical analysis', 'Spiritual understanding']","['Cultural officer', 'Sociologist', 'Educator in Indian traditions']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
24,24,Certificate Course in कायाŊलय जनसंचार कायŊिविध,Certificate,Humanities,Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories in Haryana only) from recognized boards.,"This program focuses on communication skills and public relations, providing students with the knowledge to effectively interact with diverse audiences in various settings.","['Communication skills', 'Public relations', 'Cultural awareness']","['Marketing executive', 'Event coordinator', 'Customer service manager']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
25,25,Certificate Course in Harmonium,Certificate,Arts,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program focuses on the theoretical and practical aspects of playing the harmonium. Students learn about music theory, performance techniques, and historical context of this instrument.","['Musical performance', 'Harmonium technique', 'Music theory']","['Music teacher', 'Church musician', 'Performance artist']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
26,26,Certificate Course in Tabla,Certificate,Arts,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto","This program focuses on the study and performance techniques of Tabla, an Indian percussion instrument. Students learn rhythm patterns, ensemble playing, and cultural significance.","['Rhythmic performance', 'Instrumental technique', 'Cultural appreciation']","['Musician', 'Performer', 'Music educator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
27,27,संृत-Ůयोग-कुशाल,UG,Humanities,"Bachelor's Degree with at least 45% marks (42.75% for reserved categories) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto","This program focuses on the study of arts and humanities, providing a broad understanding of cultural, social, and historical contexts.","['Critical thinking', 'Creative writing', 'Research skills']","['Content writer', 'Archivist', 'Museum curator']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
28,28,Certificate Course in Tattoo Designing,Certificate,Arts,"Bachelor's Degree with at least 45% marks (42.75% for SC/ST/Blind/Visually/Differentlyabled candidates of Haryana only) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto","This program focuses on the techniques and aesthetics of tattoo design, including skin care, tool usage, and artistic expression.","['Tattoo application', 'Skin analysis', 'Artistic drawing']","['Professional tattoo artist', 'Tattoo studio manager']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
29,29,Certificate Course in Clay Modeling,Certificate,Arts,"Bachelor's Degree with at least 45% marks (42.75% for reserved categories) in aggregate or equivalent examination recognized by MDU, Rohtak.","This program focuses on the techniques and applications of clay modeling, providing foundational skills in sculpting and ceramics.","['Sculpture techniques', 'Clay manipulation', 'Artistic expression']","['Crafts artist', 'Potter', 'Art teacher']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
30,30,PG Diploma in CyberLaw,Diploma,Law,"Bachelor/Master Degree with at least 45% marks (42.75% for SC/ST/Blind/Visually Differentlyabled candidates of Haryana only) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program focuses on legal aspects of cybersecurity, including cybercrime laws and digital evidence. Students learn about regulatory frameworks and ethical considerations in the digital age.","['Legal research', 'Cybersecurity law', 'Digital forensics']","['Cybersecurity lawyer', 'Corporate compliance officer', 'Government cyber regulator']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
31,31,PG Diploma in Criminology & Forensic Law,Diploma,Law,"Bachelor/Master Degree with at least 45% marks (42.75% for SC/ST/Blind/Visually Differentlyabled candidates of Haryana only) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto","This program explores the intersection of law and forensic science, focusing on criminal justice systems, legal procedures, and investigative techniques.","['Legal research', 'Forensic analysis', 'Criminal investigation']","['Forensic investigator', 'Criminologist', 'Legal consultant']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
32,32,PG Diploma in Computational Biology,Diploma,Life Sciences,"Bachelor's Degree in Biological Sciences, Computer Science, Allied Biological Sciences, Agricultural Sciences, B.E/B.Tech (Biotech, Bioinformatics, Comp.Sc., IT), MBBS, BDS, BAMS, BHMS, B.Pharm with at least 50% marks (47.5% for SC/ST/Blind/Visually & Differently Abled candidates of Haryana only)","This program integrates computational methods and tools into biological sciences to analyze complex biological data, focusing on genomics, proteomics, and bioinformatics.","['Data analysis', 'Bioinformatics', 'Genomic research']","['Biological researcher', 'Bioinformatician', 'Medical scientist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
33,33,PG Diploma in Biotechnology,Diploma,Biotechnology,"Bachelor's Degree in Biological Sciences with Chemistry or related fields, with at least 50% marks (47.5% for reserved categories) from Haryana State Universities.","This program focuses on advanced biotechnological techniques and applications, providing a comprehensive understanding of genetic engineering, molecular biology, and bioinformatics.","['Biotechnological research', 'Genetic engineering', 'Molecular biology', 'Bioinformatics analysis']","['Biotechnology researcher', 'Biotech product developer', 'Clinical laboratory scientist']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
34,34,Certificate Course in Laboratory Animal Experimentation,Certificate,Life Sciences,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.",This program covers the ethical handling and experimental techniques involving laboratory animals. Students learn about animal welfare regulations and practical skills in conducting experiments.,"['Animal care', 'Experimental design', 'Regulatory compliance']","['Research assistant', 'Laboratory technician', 'Animal caretaker']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
35,35,PG Diploma in Industrial Safety and Management,Diploma,Engineering,"B.Sc. (Hons. or Pass) in any discipline of Sciences with at least 50% marks, 47.5% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only.","This program focuses on safety protocols, risk management, and leadership in industrial settings, providing a comprehensive understanding of occupational health and safety standards.","['Safety regulations', 'Risk assessment', 'Leadership skills']","['Health and Safety Manager', 'Occupational Hygienist', 'Industrial Safety Officer']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
36,36,Certificate Course in Waste Management: Challenges and Opportunities (In collaboration with ESM Cell),Certificate,Science,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Board of School Education Haryana, Bhiwani or any other recognized equivalent examination.","This program explores the challenges and opportunities in waste management, focusing on sustainable practices and environmental conservation techniques.","['Waste reduction', 'Sustainability practices', 'Environmental assessment']","['Waste management specialist', 'Environmental consultant', 'Sustainability officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
37,37,Certificate Course in Natural Farming : An Integrated Approach (In collaboration with ESM Cell),Certificate,Agriculture,Girls Students with Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from recognized boards.,"This program focuses on sustainable agricultural practices, integrating traditional and modern farming techniques to promote ecological balance and productivity.","['Sustainable agriculture', 'Soil management', 'Agroecology']","['Agricultural consultant', 'Farm manager', 'Sustainability officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
38,38,PG Diploma in Genetic Counselling,Diploma,Life Sciences,"Master's Degree in Genetics, Biotechnology, Human Biology, Medical Biotech, Human Genetics, Biotechnology, Molecular Biology, Biological Sciences, Microbiology, Clinical Genetics, Biomedical Science, Zoology, MBBS, BDS with at least 50% marks (47.5% for SC/ST/Blind/Visually and Differently abled candidates of Haryana only)","This program focuses on genetic counseling principles, techniques, and ethical considerations, preparing students to provide genetic information and support to individuals and families.","['Genetic counseling', 'Ethical practices', 'Patient communication']","['Genetic counselor', 'Healthcare consultant', 'Research assistant']",min_degree_level='PG' min_marks_general=50.0 min_marks_reserved=47.5
39,39,PG Diploma in Data Analytics,Diploma,ComputerScience,Bachelor's Degree with at least 50% marks (47.50% for SC/ST/Blind/Visually/Differently Abled candidates of Haryana only) in aggregate or any other examination recognized as equivalent thereto by M.D. University Rohtak.,"This program focuses on statistical analysis, data mining, and predictive modeling techniques to prepare students for advanced analytics roles.","['Data analysis', 'Statistical methods', 'Predictive modeling']","['Data analyst', 'Business intelligence specialist', 'Operations research analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
40,40,Post Graduate Diploma in Agricultural and Rural Development,Diploma,Agriculture,Bachelor's Degree with at least 50% marks (47.50% for SC/ST/Blind/Visually/Differently Abled candidates of Haryana only) in aggregate or any other examination recognized as equivalent by this University.,"This program focuses on sustainable agricultural practices and rural development strategies, providing insights into policy-making and community engagement.","['Sustainable agriculture', 'Community development', 'Policy analysis']","['Agricultural extension officer', 'Rural development specialist', 'Policy analyst']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
41,41,PG Diploma in Guidance and Counselling,Diploma,Education,Bachelor's Degree in Psychology with at least 50% marks (47.50% for SC/ST/Blind/Visually and Differently Abled candidates of Haryana only),"This program focuses on psychological assessment, counseling techniques, and intervention strategies to support individuals across various life stages.","['Counseling skills', 'Psychological assessment', 'Support services']","['School counselor', 'Career consultant', 'Mental health advocate']",min_degree_level='UG' min_marks_general=50.0 min_marks_reserved=47.5
42,42,Certificate Course in Research Methods in Social Sciences,Certificate,Social Sciences,"Bachelor's Degree in any discipline with at least 45% marks (42.75% for reserved categories) or equivalent examination recognized by M.D. University, Rohtak","This program focuses on qualitative and quantitative research methods essential for social sciences. Students learn data collection, analysis, and interpretation techniques.","['Research design', 'Data analysis', 'Statistical methods']","['Social researcher', 'Policy analyst', 'Survey coordinator']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
43,43,PG Diploma in Remote Sensing and GIS,Diploma,Engineering,Master's degree in a relevant field with at least the minimum percentage of marks as prescribed by M.D. University.,"This program focuses on advanced techniques in remote sensing and Geographic Information Systems (GIS), providing knowledge in data analysis, spatial modeling, and environmental monitoring.","['Data analysis', 'Spatial modeling', 'GIS software']","['Environmental consultant', 'GIS specialist', 'Remote sensing analyst']",min_degree_level='PG' min_marks_general=None min_marks_reserved=None
44,44,Certificate Course in Terrorism Studies,Certificate,Social Sciences,"Senior Secondary Examination (10+2) with at least 50% marks from Board of School Education Haryana, Bhiwani or equivalent.",This program explores the complexities of terrorism and its socio-political impacts. Students gain an understanding of counter-terrorism strategies and international laws related to security studies.,"['Terrorism analysis', 'Security studies', 'Policy formulation']","['Counter-terrorism analyst', 'Security consultant', 'Intelligence officer']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=None
45,45,Certificate Course in Indian Culture and History,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program explores the rich tapestry of Indian culture and history, covering ancient civilizations to modern times. Students gain insights into religious, social, and political aspects shaping India’s past and present.","['Cultural awareness', 'Historical analysis', 'Research skills']","['Museum curator', 'Heritage officer', 'Policy analyst']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
46,46,Certificate Course in Understanding India,Certificate,Social Sciences,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto","This program explores the historical, cultural, and socio-political aspects of India. Students gain insights into the diverse social structures and contemporary issues affecting Indian society.","['Cultural awareness', 'Historical analysis', 'Sociopolitical understanding']","['Policy analyst', 'Social researcher', 'Community development worker']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
47,47,Certificate Course in Historical Tourism and Management,Certificate,Humanities,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Board of School Education Haryana, Bhiwani or equivalent.","This program focuses on the intersection of history and tourism management, providing an understanding of historical sites and their role in modern tourism development.","['Historical research', 'Cultural heritage preservation', 'Tourism planning']","['Heritage site manager', 'Museum curator', 'Tour guide']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
48,48,Certificate Course in International Current Affairs,Certificate,Social Sciences,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for reserved categories) from Board of School Education Haryana, Bhiwani or equivalent.","This program covers key aspects of international relations and global events, providing insights into geopolitical dynamics and current issues affecting the world stage.","['Global awareness', 'Current affairs analysis', 'Policy understanding']","['International relations officer', 'Journalist', 'Government analyst']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
49,49,Certificate Course in Business History,Certificate,Commerce,"Senior Secondary Examination (10+2) with at least 50% marks (47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only) from Board of School Education Haryana, Bhiwani or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program explores the historical development and evolution of business practices, focusing on economic, social, and political contexts. Students gain an understanding of key business events and their impact on modern commerce.","['Historical analysis', 'Research skills', 'Critical thinking']","['Archivist', 'Corporate historian', 'Policy analyst']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
50,50,Certificate Course in Indian Administration,Certificate,Social Sciences,"Senior Secondary Examination (10+2) with at least 50% marks, 47.50% for SC/ST/Blind/Visually Differently abled candidates of Haryana only.","This program covers the fundamentals of Indian administration and governance, providing insights into public policy, civil services, and administrative practices.","['Public policy analysis', 'Administrative management', 'Civil service awareness']","['Government officer', 'Policy analyst', 'Non-profit administrator']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
51,51,Certificate Course in Book Publishing,Certificate,Commerce,"Bachelor's Degree with at least 45% marks (42.75% for SC/ST/Blind/Visually/Differently abled candidates of Haryana only) in aggregate or any other examination recognized by MDU, Rohtak as equivalent thereto.","This program covers the fundamentals of book publishing including editing, design, and distribution processes. Students learn about copyright laws, market analysis, and digital publishing trends.","['Content editing', 'Design principles', 'Market research']","['Editor', 'Publishing coordinator', 'Book designer']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
52,52,PG Diploma in Karmakand,Diploma,Humanities,"Bachelor's Degree in Sanskrit or Shastri with at least 45% marks (42.75% for reserved categories) from MDU, Rohtak.","This program delves into the study of Karmakand, focusing on ancient Indian texts and their philosophical implications. Students explore textual analysis, critical interpretation, and cultural significance.","['Textual analysis', 'Philosophical interpretation', 'Cultural studies']","['Academic researcher', 'Sanskrit teacher', 'Cultural heritage officer']",min_degree_level='UG' min_marks_general=45.0 min_marks_reserved=42.75
53,53,Certificate Course in Introduction to Indian Knowledge System,Certificate,Interdisciplinary Studies,"Senior Secondary Examination (10+2) with at least 50% marks, 47.50% for SC/ST/Blind candidates of Haryana from Board of School Education Haryana or equivalent.","This program introduces students to the rich tapestry of Indian knowledge systems, covering ancient texts, philosophies, and cultural heritage.","['Cultural awareness', 'Historical understanding', 'Critical thinking']","['Museum curator', 'Heritage preservation specialist', 'Policy analyst']",min_degree_level='PreUG' min_marks_general=50.0 min_marks_reserved=47.5
