program_name,program_level,domain,eligibility,description,mode,duration,skills_learned,career_outcomes,min_degree_level,min_marks_general,min_marks_reserved,required_subjects
M.Sc. (ENVIRONMENTAL SCIENCES),PG,Science,Requires a Bachelor's degree in any discipline of Science or a B.Tech. in Biotechnology/Environment Engineering with 50% aggregate marks.,"This program focuses on the study of environmental systems, processes, and the management of environmental issues. It involves in-depth exploration of ecological principles, pollution control, and sustainable resource management. The curriculum develops analytical and problem-solving skills related to environmental challenges.",Regular,2 year,"['Environmental analysis', 'Systems thinking', 'Pollution control', 'Resource management']","['Environmental consultant', 'Pollution control officer', 'Environmental analyst', 'Sustainability manager']",UG,50.0,,"['Science', 'Biotechnology', 'Environment Engineering', 'Environment Sciences']"
M.Sc. (ZOOLOGY),PG,Science,Requires a Bachelor's degree in Zoology or a related subject with at least 50% marks.,"This program focuses on advanced study in the biological sciences, delving into the principles and methodologies of zoology. It covers the study of animal life, its diversity, structure, function, and evolutionary relationships.",Regular,2 year,"['Biological study', 'Data interpretation', 'Research skills']","['Zoologist', 'Research assistant', 'Wildlife conservationist']",UG,50.0,,"['Zoology', 'Science']"
M.Sc. (FOOD TECHNOLOGY),PG,Science,Possess a B.Sc.(Pass) degree in Medical or Non-Medical Sciences or a related degree in applied sciences.,"This program focuses on the scientific principles and technologies related to food processing and food science. It covers the study of food composition, quality, safety, and processing techniques. The curriculum emphasizes the application of scientific knowledge to develop and improve food products.",Regular,2 year,"['Food science', 'Quality control', 'Processing techniques', 'Analytical methods']","['Food technologist', 'Quality assurance officer', 'Food product developer', 'Research analyst']",UG,,,"['Food Technology', 'Applied Sciences']"
M.SC. (FORENSIC SCIENCE),PG,Science,"Requires a Bachelor's degree in Forensic Science or a B.Sc. with specific subjects, or a BDS degree with minimum marks.","This program focuses on the scientific principles and methodologies applied to forensic investigations. It involves the study of evidence analysis, legal procedures, and the application of scientific knowledge to criminal and legal matters.",Regular,2 year,"['Evidence analysis', 'Scientific investigation', 'Legal procedures']","['Forensic analyst', 'Crime scene investigator', 'Forensic examiner']",UG,,,"['Forensic Science', 'Science']"
M.A. (Yoga Science),PG,Humanities,Requires a Bachelor's Degree of three years duration with at least 45% marks in aggregate or recognized examination.,"This program focuses on the study of Yoga Science, encompassing the theoretical and practical aspects of Yoga. It involves in-depth exploration of the philosophical, physiological, and psychological principles related to Yoga.",Regular,2 year,"['Yoga theory', 'Physiological understanding', 'Psychological principles']","['Yoga instructor', 'Wellness consultant', 'Yoga therapist']",UG,45.0,,[]
LLB (Hons.) 3-Year,UG,Humanities,"Requires a Bachelor's or Master's degree with at least 45% marks in aggregate or equivalent examination recognized by M.D. University, Rohtak.","This program focuses on the study of law, legal principles, and legal systems. It involves in-depth analysis of legal frameworks, jurisprudence, and legal reasoning. The curriculum aims to develop comprehensive legal knowledge and analytical skills.",Regular,3 year,"['Legal analysis', 'Legal reasoning', 'Statutory interpretation', 'Contract law', 'Legal research']","['Advocate', 'Legal counsel', 'Litigation specialist', 'Paralegal', 'Legal researcher']",PreUG,45.0,,[]
LL.M.,PG,Humanities,Possession of an LLB (Professional) Examination or an equivalent qualification with at least 50% aggregate marks.,"This program focuses on advanced legal studies and specialized legal theory. It involves in-depth analysis of legal principles, jurisprudence, and complex legal systems. The curriculum aims to develop advanced legal reasoning and analytical skills.",Regular,2 year,"['Legal analysis', 'Jurisprudence study', 'Legal reasoning', 'Research skills']","['Legal counsel', 'Advocacy', 'Judicial service', 'Policy analysis']",UG,50.0,,[]
Certificate Course in Pedagogy of Online Teaching,PG,Humanities,"Requires a Bachelor in Education (B.Ed.) with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.",This course focuses on the pedagogical principles and practices related to teaching through online modalities. It covers the theoretical foundations and practical skills necessary for effective online instruction. The program aims to equip participants with the knowledge to design and implement effective online teaching strategies.,Regular,6 Months,"['Online pedagogy', 'Instructional design', 'Curriculum development']","['Online educator', 'Instructional designer', 'Teacher trainer']",UG,45.0,,"['Education', 'Teaching']"
Certificate course in Communication Skills in English Language,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on developing proficiency in English language communication skills. It covers the essential aspects of effective communication and language usage.,Regular,6 Months,"['English communication', 'Language proficiency', 'Written skills']","['Communication assistant', 'Content writer', 'Language trainer']",PreUG,50.0,,[]
Certificate course in Spanish Language,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on developing proficiency in the Spanish language. It covers linguistic structures, vocabulary, and communication skills necessary for effective language use.",Regular,6 Months,"['Language acquisition', 'Communication skills', 'Grammar understanding']","['Language tutor', 'Translator', 'Interpreter', 'Cultural liaison']",PreUG,50.0,,[]
Certificate course in FrenchLanguage,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on developing proficiency in the French language. It covers the foundational aspects of French grammar, vocabulary, and communication skills. The course aims to equip students with basic linguistic competence.",Regular,6 Months,"['Language acquisition', 'Grammar study', 'Communication skills']","['Language tutor', 'Translator assistant', 'Cultural liaison']",PreUG,50.0,,[]
Certificate course in German Language,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on developing proficiency in the German language. It covers linguistic structures, vocabulary, and communication skills necessary for language acquisition.",Regular,6 Months,"['Language acquisition', 'Communication skills', 'Grammar understanding']","['Language translation', 'Cultural exchange', 'Bilingual communication']",PreUG,50.0,,[]
PG Diploma in Translation (English-HindiEnglish),PG,Humanities,Requires a Bachelor's Degree in English and Hindi or English/Hindi Honours with at least 45% aggregate marks.,This program focuses on the study and practice of translation between English and Hindi. It involves developing proficiency in linguistic skills and cultural understanding necessary for accurate cross-lingual communication.,Regular,1 year,"['Translation skills', 'Bilingual proficiency', 'Linguistic analysis']","['Translator', 'Interpreter', 'Content writer', 'Linguist']",UG,45.0,,"['English', 'Hindi', 'Translation', 'English-Hindi']"
"PG Diploma in Bhartiya Sanskriti Dharm, Darshan & Adhyatam",PG,Humanities,Requires a Bachelor's Degree with at least 50% marks in aggregate or equivalent examination recognized by the University.,"This program focuses on the study of Indian culture, philosophy, and spiritual traditions. It involves in-depth exploration of various aspects of Indian thought and heritage.",Regular,1 year,"['Cultural studies', 'Philosophical analysis', 'Historical understanding']","['Cultural researcher', 'Heritage educator', 'Religious studies instructor']",UG,50.0,,[]
Certificate Course in कायाŊलय जनसंचार कायŊिविध,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on the principles and practices of mass communication and public relations. It covers the theoretical foundations and practical skills required for effective communication strategies. The course aims to develop competencies in understanding and managing communication processes.,Regular,6 Months,"['Communication skills', 'Public relations', 'Media literacy']","['Media assistant', 'Public relations officer', 'Communication specialist']",PreUG,50.0,,[]
Certificate Course in Harmoniu m,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This course focuses on the study of specific humanistic subjects. It provides foundational knowledge in the relevant areas of the discipline.,Regular,6 Months,"['Course completion', 'Foundational knowledge', 'Study skills']","['Certificate holder', 'Entry-level position', 'Further study eligibility']",PreUG,50.0,,[]
Certificate Course in Tabla,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course focuses on the study and practice of the Tabla, an Indian percussion instrument. It involves learning the fundamental techniques, rhythmic structures, and musical theory associated with this art form.",Regular,6 Months,"['Rhythmic practice', 'Musical theory', 'Instrumental technique']","['Music instructor', 'Cultural performer', 'Rhythmic artist']",PreUG,50.0,,[]
संˋृ त-Ůयोग-कु शाल,PreUG,Management,"Requires a Bachelor's Degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.",This program focuses on developing skills related to the application of knowledge within a specific domain. It aims to provide foundational competencies necessary for practical application and understanding of core concepts.,Regular,6 Months,"['Application skills', 'Foundational knowledge', 'Basic competency']","['Entry-level application specialist', 'Trainee role', 'Skill development assistant']",UG,45.0,45.0,[]
Certificate Course in Tattoo Designing,PreUG,Arts,"Requires a Bachelor's Degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.","This course focuses on the theoretical and practical aspects of tattoo design. It covers the principles of artistic composition, design theory, and the technical skills required for professional tattoo artistry.",Regular,6 Months,"['Artistic design', 'Design principles', 'Aesthetic composition']","['Tattoo artist', 'Design specialist', 'Artistic practitioner']",UG,45.0,,[]
Certificate Course in Clay Modeling,UG,Arts,"Requires a Bachelor's Degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.",This course focuses on the practical and theoretical aspects of clay modeling. It involves developing skills in artistic techniques and material manipulation through hands-on practice.,Regular,6 Months,"['Clay modeling', 'Artistic technique', 'Material handling']","['Artisan', 'Sculptor', 'Craftsperson']",PreUG,45.0,,[]
PG Diploma in CyberLaw,PG,Law,"Requires a Bachelor's or Master's degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.",This program focuses on the legal aspects of cyber activities and law. It covers the intersection of technology and legal frameworks relevant to digital environments. The curriculum aims to equip students with knowledge of cyber law principles and regulations.,Regular,1 year,"['Legal analysis', 'Cyber law principles', 'Regulatory compliance']","['Cyber law consultant', 'Legal compliance officer', 'Data privacy lawyer']",UG,45.0,,"['Law', 'CyberLaw']"
PG Diploma in Criminology & Forensic Law,PG,Humanities,"Requires a Bachelor's or Master's degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.","This program focuses on the study of criminal behavior, legal frameworks, and forensic principles. It provides an in-depth understanding of the legal and social aspects related to crime and justice systems.",Regular,1 year,"['Legal analysis', 'Forensic investigation', 'Criminological theory']","['Forensic analyst', 'Legal researcher', 'Law enforcement officer', 'Criminology consultant']",UG,45.0,,"['Criminology', 'Forensic Law', 'Law']"
PG Diploma in Computational Biology,PG,Science,"Requires a Bachelor's Degree in Biological Sciences, Computer Science, or allied biological sciences, or equivalent examination recognized by State Universities of Haryana.","This program focuses on the intersection of biology and computation. It involves studying the mathematical and computational methods applied to biological systems and data. The curriculum covers bioinformatics, computational modeling, and biological data analysis.",Regular,1 year,"['Data analysis', 'Computational modeling', 'Bioinformatics', 'Statistical methods']","['Bioinformatics analyst', 'Computational biologist', 'Biomedical data scientist', 'Research assistant']",UG,,,"['Biological Sciences', 'Computer Science', 'Biology', 'Science']"
PG Diploma in Biotechnology,PG,Science,Requires a Bachelor's degree in Biological Sciences or related fields with specified minimum marks.,"This program focuses on advanced knowledge in the field of biotechnology. It covers core concepts in molecular biology, genetics, and various biotechnological applications. The curriculum aims to develop expertise in biological systems and their manipulation.",Regular,1 year,"['Biological knowledge', 'Molecular techniques', 'Biotechnology applications']","['Biotechnology research', 'Bioprocess development', 'Quality control specialist']",UG,,,"['Biological Sciences', 'Biotechnology', 'Science']"
Certificate Course in Laboratory Animal Experimentation,PreUG,Science,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This course focuses on the principles and practices involved in the experimentation of laboratory animals. It covers the methodologies and ethical considerations necessary for conducting scientific research in an animal setting.,Regular,6 Months,"['Animal handling', 'Experiment design', 'Data recording', 'Laboratory procedures']","['Laboratory assistant', 'Research technician', 'Animal care specialist']",PreUG,50.0,,[]
PG Diploma in Industrial Safety and Management,PG,Management,Requires a B.Sc. (Hons. or Pass) in any discipline of Sciences or an equivalent examination recognized by State Universities of Haryana with 50% marks.,"This program focuses on the principles and practices of industrial safety and management systems. It covers the theoretical and practical aspects of ensuring a safe and compliant working environment in industrial settings. The curriculum emphasizes risk assessment, hazard control, and management strategies.",Regular,1 year,"['Risk assessment', 'Safety management', 'Hazard control', 'Compliance monitoring']","['Safety officer', 'Industrial manager', 'Compliance consultant', 'Health and safety administrator']",UG,50.0,,['Science']
Certificate Course in Waste Management: Challenges and Opportunities (In collaboration with ESM Cell),UG,Environment,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This course focuses on the challenges and opportunities related to waste management. It covers the theoretical and practical aspects of managing waste effectively. The program aims to equip participants with knowledge in waste management principles and strategies.,Regular,6 Months,"['Waste management principles', 'Environmental assessment', 'Resource optimization']","['Waste management consultant', 'Environmental officer', 'Sustainability analyst']",PreUG,50.0,,[]
Certificate Course in Natural Farming : An Integrated Approach (In collaboration with ESM Cell),PreUG,Science,"Requires Senior Secondary Examination (10+2) with at least 50% marks from the Board of School Education Haryana or an equivalent recognized by MDU, Rohtak.",This course focuses on the principles and integrated approach of natural farming methods. It covers the practical application and theoretical understanding of sustainable agricultural practices. The program aims to equip students with knowledge in ecological and sustainable farming techniques.,Regular,6 Months,"['Agricultural practices', 'Sustainable methods', 'Natural farming techniques']","['Agricultural extension worker', 'Organic farmer', 'Agronomy assistant']",PreUG,50.0,,[]
PG Diploma in Genetic Counselling,PG,Science,Requires a Master Degree in relevant biological or medical fields with specified minimum marks.,This program focuses on the principles and applications of genetic counseling. It involves studying the biological basis of genetic disorders and the psychosocial aspects of genetic counseling. The curriculum covers the necessary knowledge for advising individuals and families regarding genetic health.,Regular,1 year,"['Genetic assessment', 'Counseling skills', 'Biological interpretation', 'Risk analysis']","['Genetic counselor', 'Medical geneticist', 'Bioinformatics analyst', 'Healthcare consultant']",UG,,,"['Genetic Counselling', 'Biology', 'Medicine']"
PG Diploma in Data Analytics,PG,Science,Requires a Bachelor's Degree with at least 50% marks in aggregate or equivalent examination recognized by M.D. University Rohtak.,"This program focuses on the principles and techniques of data analysis. It covers methods for collecting, processing, and interpreting large datasets to derive meaningful insights. The curriculum emphasizes statistical foundations and analytical tools relevant to data-driven decision-making.",Regular,1 year,"['Data analysis', 'Statistical methods', 'Data interpretation']","['Data analyst', 'Business intelligence specialist', 'Data visualization expert']",UG,50.0,,"['Data Analytics', 'Mathematics']"
Post Graduate Diploma in Agricultural and Rural Development,PG,Management,Requires a Bachelor's Degree with at least 50% marks in aggregate or equivalent examination results.,This program focuses on the study of agricultural practices and rural development issues. It covers the socio-economic and administrative aspects related to agricultural systems and rural areas.,Regular,1 year,"['Rural development', 'Agricultural planning', 'Socio-economic analysis']","['Rural planner', 'Agricultural administrator', 'Development officer']",UG,50.0,,[]
PG Diploma in Guidance and Counselling,PG,Humanities,Requires a Bachelor's Degree in Psychology.,This program focuses on the principles and practices of guidance and counselling. It covers the theoretical foundations and practical application of psychological principles in an educational and personal context.,Regular,1 year,"['Counselling techniques', 'Psychological assessment', 'Guidance strategies']","['Guidance counsellor', 'Educational consultant', 'Career advisor']",UG,,,"['Psychology', 'Guidance and Counselling', 'PG']"
Certificate Course in Research Methods in Social Sciences,PG,Humanities,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks.,"This course focuses on the methodologies and techniques essential for conducting research within the social sciences. It provides students with the foundational knowledge necessary to design, execute, and analyze social science research projects effectively.",Regular,6 Months,"['Research methodology', 'Data collection', 'Statistical analysis', 'Research design']","['Social science researcher', 'Research assistant', 'Data analyst', 'Research practitioner']",UG,45.0,,[]
PG Diploma in Remote Sensing and GIS,PG,Science,Requires a Master's Degree in a relevant field with prescribed minimum marks.,"This program focuses on the principles and applications of remote sensing and Geographic Information Systems. It covers spatial data acquisition, processing, and the use of GIS for spatial analysis and decision-making.",Regular,1 year,"['Spatial analysis', 'Image processing', 'GIS application', 'Data interpretation']","['Remote sensing analyst', 'GIS specialist', 'Geospatial data manager', 'Environmental consultant']",UG,,,"['Remote Sensing', 'GIS', 'Geography']"
Certificate Course in Terrorism Studies,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course focuses on the study of terrorism, its causes, methods, and socio-political implications. It provides an overview of the theoretical and practical aspects related to terrorism studies.",Regular,6 Months,"['Critical analysis', 'Research skills', 'Political awareness']","['Security analyst', 'Policy researcher', 'Intelligence studies specialist']",PreUG,50.0,,[]
Certificate Course in Indian Culture and History,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on the study of Indian culture and its historical development. It explores various aspects of Indian history, social structures, and cultural practices.",Regular,6 Months,"['Cultural understanding', 'Historical analysis', 'Research skills']","['Cultural interpreter', 'History enthusiast', 'Cultural educator']",PreUG,50.0,,[]
Certificate Course in Understanding India,PreUG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course focuses on providing an understanding of India's diverse cultural, social, and political landscape. It explores the history, geography, and socio-economic aspects of the nation.",Regular,6 Months,"['Cultural awareness', 'Historical knowledge', 'Social understanding']","['Cultural interpreter', 'Public relations assistant', 'Content creator']",PreUG,50.0,,[]
Certificate Course in Historical Tourism and Management,UG,Humanities,"Requires Senior Secondary Examination (10+2) with at least 50% marks from the Board of School Education Haryana or an equivalent recognized by MDU, Rohtak.","This program focuses on the study of historical tourism and the management principles applied to the tourism sector. It covers the historical context, cultural aspects, and administrative strategies related to tourism development.",Regular,6 Months,"['Historical study', 'Tourism management', 'Cultural understanding']","['Tourism guide', 'Heritage manager', 'Travel consultant']",PreUG,50.0,,[]
Certificate Course in International Current Affairs,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course focuses on providing an overview of current affairs from an international perspective. It aims to develop an understanding of global political, economic, and social developments.",Regular,6 Months,"['Current affairs analysis', 'Information synthesis', 'Global awareness']","['Research assistant', 'Content writer', 'Journalist']",PreUG,50.0,,[]
Certificate Course in Business History,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on the historical development and evolution of business practices and concepts. It explores the socio-economic and political contexts that shaped business history across different eras. The course provides an overview of key historical events and figures relevant to the field.,Regular,6 Months,"['Historical analysis', 'Research skills', 'Contextual understanding']","['Archivist', 'Historical researcher', 'Business historian']",PreUG,50.0,,[]
Certificate Course in Indian Administration,UG,Management,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course focuses on the administrative structures, policies, and governance systems of India. It provides foundational knowledge in the principles and practices of public administration.",Regular,6 Months,"['Administrative principles', 'Policy analysis', 'Governance understanding']","['Administrative assistant', 'Public sector entry', 'Clerical roles']",PreUG,50.0,,[]
Certificate Course in Book Publishing,UG,Commerce,"Requires a Bachelor's Degree with at least 45% marks in aggregate or equivalent examination recognized by MDU, Rohtak.","This course focuses on the practical and theoretical aspects of book publishing. It covers the processes involved in creating, editing, and disseminating written materials. The program aims to equip students with the foundational skills necessary for the publishing industry.",Regular,6 Months,"['Publishing processes', 'Content creation', 'Editing skills', 'Book production']","['Book editor', 'Publisher assistant', 'Content manager', 'Literary agent']",PreUG,45.0,,[]
PG Diploma in Karmakand,PG,Humanities,Requires a Bachelor Degree in Sanskrit or Shastri with at least 45% aggregate marks.,"This program focuses on the study and understanding of Karmakand. It involves in-depth exploration of the relevant cultural, historical, and philosophical aspects of the subject.",Regular,1 year,"['Sanskrit knowledge', 'Cultural studies', 'Textual analysis']","['Cultural studies assistant', 'Archival research', 'Language interpretation']",UG,45.0,45.0,"['Sanskrit', 'Shastri', 'Diploma', 'Karmakand']"
Certificate Course in Introduction to Indian Knowledge System,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,"This course introduces fundamental concepts and principles of the Indian Knowledge System. It explores the diverse philosophical, cultural, and intellectual traditions of India. The program aims to provide an introductory understanding of these ancient and contemporary knowledge systems.",Regular,6 Months,"['Knowledge acquisition', 'Cultural understanding', 'System introduction']","['Cultural educator', 'Knowledge disseminator', 'Research assistant']",PreUG,50.0,,[]
Certificate Course in Introduction to Indian Logic,PreUG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% marks.,This course introduces the fundamental concepts and principles of Indian logic. It focuses on the foundational reasoning systems and philosophical structures within Indian thought. The program aims to develop an understanding of logical argumentation and critical thinking based on Indian traditions.,Regular,6 Months,"['Logical reasoning', 'Critical thinking', 'Conceptual understanding']","['Logic studies', 'Analytical thinking', 'Foundational reasoning']",PreUG,50.0,,[]
Certificate Course in Phiolosphy of Dayanand,PG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on the study of the philosophy of Dayanand. It involves exploring fundamental philosophical concepts and theories within the specified discipline. The course aims to develop critical thinking and understanding of philosophical thought.,Regular,6 Months,"['Philosophical reasoning', 'Critical thinking', 'Textual analysis']","['Philosophical studies', 'Academic research', 'Content development']",UG,50.0,,[]
PG Diploma in Intellectual Property Rights,PG,Law,Requires a Bachelor's Degree in any discipline with at least 45% aggregate marks.,"This program focuses on the legal and administrative aspects of intellectual property rights. It covers the principles, laws, and procedures related to patents, trademarks, copyrights, and other forms of intellectual property.",Regular,1 year,"['Legal principles', 'IP law', 'Contract drafting', 'Research skills']","['IP legal assistant', 'Patent agent', 'Trademark attorney', 'IP consultant']",UG,45.0,,[]
Certificate Course in Biometric Identification,PG,Science,"Requires a Bachelor's degree in Forensic Science, Life Science, or Bio-medical Sciences with minimum aggregate marks.",This course focuses on the principles and techniques involved in biometric identification. It covers the theoretical and practical aspects of various biometric modalities used for identification purposes. The program aims to equip participants with foundational knowledge in this specialized field.,Regular,6 Months,"['Biometric principles', 'Identification techniques', 'Data interpretation']","['Biometric analyst', 'Forensic technician', 'Security specialist']",UG,,,"['Forensic Science', 'Life Science', 'Bio-medical Sciences', 'Science']"
Certificate Course in Communication Skills,UG,Humanities,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on developing essential communication competencies. It covers the principles and techniques required for effective interpersonal and professional communication.,Regular,6 Months,"['Communication skills', 'Interpersonal skills', 'Presentation skills']","['Communication specialist', 'Public relations officer', 'Content writer']",PreUG,50.0,,[]
Certificate Course in Professional Skills,PreUG,Management,Candidates must have passed the Senior Secondary Examination (10+2) with at least 50% marks.,This program focuses on developing professional skills through a structured course. It aims to equip participants with practical competencies relevant to various professional fields.,Regular,6 Months,"['Skill development', 'Examination preparation', 'Professional competency']","['Entry-level professional', 'Skill-based role', 'Vocational training']",PreUG,50.0,,[]
